year,scenario,utility_infrastructure_variant,fiscal_capture_variant,housing_stock,theoretical_housing_capacity,annual_entitlements,annual_permits,annual_completions,annual_occupied_new_units,cumulative_net_new_units,delayed_completed_units_due_to_utilities,population,households,persons_per_household,median_gross_rent_nominal,median_gross_rent_real_2024,median_home_value_nominal,median_home_value_real_2024,median_household_income_nominal,median_household_income_real_2024,per_capita_income_real_2024,rent_to_income_ratio,residual_income_after_rent,poverty_rate,homelessness_pressure_index,estimated_homelessness_cost_avoidance,employer_establishments,employment,annual_payroll,accommodation_food_sales,commercial_vitality_index,gross_new_public_revenue,net_new_public_revenue_after_service_costs,estimated_benefit_cost_avoidance,infrastructure_reinvestment_capacity,infrastructure_funding_gap,years_until_growth_fiscal_dividend_turns_positive,share_of_infrastructure_need_self_funded_by_growth,fiscal_score,fiscal_leakage_score,fiscal_alignment_score,infrastructure_execution_score,infrastructure_stress_score,legal_implementation_risk_score,delivery_risk_score
2035,A_baseline,util_current_drag,fcap_none,3802235.1539529003,1318236.625,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,92728.15395290032,55796.09075782304,10448471.070529338,3688168.099334313,2.8329704040374977,2733.3592371220425,2135.295867381993,1250738.3078452537,977074.7670658529,112413.95677958096,90013.04345207046,48037.14046896746,0.28466485995696583,64389.49304348654,0.13350835931278096,46.3863945455879,138220408.63126293,323459.499264967,4229251.936997135,418705967361.6307,60619559719.64393,107.6270526506889,972796838.1412145,-118945871.70557627,0.0,0.0,1248974031.5789618,-1.0,0.0,49.40527064147212,80.0,30.0,30.0,49.88797440075563,20.10666666666667,39.166666666666664
2040,A_baseline,util_current_drag,fcap_none,3922200.380158222,2012045.375,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,212693.38015822181,55796.09075782304,10778627.630073812,3804534.368753475,2.8331003443150236,3215.503892663321,2220.1946857657076,1519196.5258736864,1048952.8751852282,127099.87350017643,89952.03705372561,48009.221824128006,0.29618380085462476,63309.70082453712,0.1337923970613156,50.782861861982944,0.0,333680.351168411,4362890.175504986,488522807804.416,71305086278.73079,111.89478659749047,2362423808.097157,170986540.66010088,0.0,0.0,1248974031.5789618,14.0,0.0,50.854932703300506,80.0,30.0,30.0,46.35890753288791,20.30666666666667,39.166666666666664
2045,A_baseline,util_current_drag,fcap_none,4041447.5404338134,2705854.125,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,331940.54043381335,55796.09075782304,11107667.689244997,3920204.114220799,2.8334411590843445,3784.6232420805018,2309.645594309913,1846687.4374366163,1126979.683610002,143698.08778448633,89887.13670723075,47979.22142161134,0.3083394148151727,62171.38957551179,0.13407726460371944,55.2763509660046,0.0,343866.6389093824,4496076.485559907,569374028950.23,83765290488.21046,116.18073364791832,4245929013.4904084,882765821.4995925,0.0,0.0,1248974031.5789618,14.0,0.0,54.41382910749796,80.0,30.0,30.0,46.45988865721822,20.506666666666668,39.166666666666664
2030,A_baseline,util_current_drag,fcap_partial,3698888.5108379484,624427.875,45418.06329493124,28613.379875806688,23606.038397540517,8742.818221052732,-10618.489162051585,39915.66492675033,10158511.37545159,3587921.85551281,2.8313078669322547,2321.439461361847,2051.8142213505967,1028343.9749118913,908906.2313632888,99412.72331560294,90063.02078907013,48059.74840503915,0.27338379770618587,65441.250132862966,0.1332604835181648,55.69610357802627,0.0,314483.0454715108,4111884.2768121385,359908501151.422,51726740073.55753,103.90659317744742,62245346.254176125,-464920305.3519416,0.0,0.0,393426819.9473729,-1.0,0.0,47.67539847324029,80.0,49.95,30.0,77.3772013283825,19.906666666666666,39.166666666666664
2035,A_baseline,util_current_drag,fcap_partial,3802235.1539529003,1318236.625,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,92728.15395290032,55796.09075782304,10448471.070529338,3688168.099334313,2.8329704040374977,2733.3592371220425,2135.295867381993,1250738.3078452537,977074.7670658529,112413.95677958096,90013.04345207046,48037.14046896746,0.28466485995696583,64389.49304348654,0.13350835931278096,46.3863945455879,138220408.63126293,323459.499264967,4229251.936997135,418705967361.6307,60619559719.64393,107.6270526506889,972796838.1412145,-118945871.70557627,0.0,0.0,1248974031.5789618,-1.0,0.0,49.40527064147212,80.0,49.95,30.0,44.900474400755634,20.10666666666667,39.166666666666664
2040,A_baseline,util_current_drag,fcap_partial,3922200.380158222,2012045.375,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,212693.38015822181,55796.09075782304,10778627.630073812,3804534.368753475,2.8331003443150236,3215.503892663321,2220.1946857657076,1519196.5258736864,1048952.8751852282,127099.87350017643,89952.03705372561,48009.221824128006,0.29618380085462476,63309.70082453712,0.1337923970613156,50.782861861982944,0.0,333680.351168411,4362890.175504986,488522807804.416,71305086278.73079,111.89478659749047,2362423808.097157,170986540.66010088,0.0,48731164.088128746,1200242867.490833,14.0,0.03901695540180484,50.854932703300506,80.0,49.95,30.0,41.371407532887915,20.30666666666667,39.166666666666664
2045,A_baseline,util_current_drag,fcap_partial,4041447.5404338134,2705854.125,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,331940.54043381335,55796.09075782304,11107667.689244997,3920204.114220799,2.8334411590843445,3784.6232420805018,2309.645594309913,1846687.4374366163,1126979.683610002,143698.08778448633,89887.13670723075,47979.22142161134,0.3083394148151727,62171.38957551179,0.13407726460371944,55.2763509660046,0.0,343866.6389093824,4496076.485559907,569374028950.23,83765290488.21046,116.18073364791832,4245929013.4904084,882765821.4995925,0.0,251588259.12738383,997385772.451578,14.0,0.20143594083323266,54.41382910749796,80.0,49.95,30.0,41.472388657218225,20.506666666666668,39.166666666666664
2030,A_baseline,util_current_drag,fcap_high,3698888.5108379484,624427.875,45418.06329493124,28613.379875806688,23606.038397540517,8742.818221052732,-10618.489162051585,39915.66492675033,10158511.37545159,3587921.85551281,2.8313078669322547,2321.439461361847,2051.8142213505967,1028343.9749118913,908906.2313632888,99412.72331560294,90063.02078907013,48059.74840503915,0.27338379770618587,65441.250132862966,0.1332604835181648,55.69610357802627,0.0,314483.0454715108,4111884.2768121385,359908501151.422,51726740073.55753,103.90659317744742,62245346.254176125,-464920305.3519416,0.0,0.0,393426819.9473729,-1.0,0.0,47.67539847324029,80.0,69.9,30.0,72.3897013283825,19.906666666666666,39.166666666666664
2035,A_baseline,util_current_drag,fcap_high,3802235.1539529003,1318236.625,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,92728.15395290032,55796.09075782304,10448471.070529338,3688168.099334313,2.8329704040374977,2733.3592371220425,2135.295867381993,1250738.3078452537,977074.7670658529,112413.95677958096,90013.04345207046,48037.14046896746,0.28466485995696583,64389.49304348654,0.13350835931278096,46.3863945455879,138220408.63126293,323459.499264967,4229251.936997135,418705967361.6307,60619559719.64393,107.6270526506889,972796838.1412145,-118945871.70557627,0.0,0.0,1248974031.5789618,-1.0,0.0,49.40527064147212,80.0,69.9,30.0,39.91297440075563,20.10666666666667,39.166666666666664
2040,A_baseline,util_current_drag,fcap_high,3922200.380158222,2012045.375,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,212693.38015822181,55796.09075782304,10778627.630073812,3804534.368753475,2.8331003443150236,3215.503892663321,2220.1946857657076,1519196.5258736864,1048952.8751852282,127099.87350017643,89952.03705372561,48009.221824128006,0.29618380085462476,63309.70082453712,0.1337923970613156,50.782861861982944,0.0,333680.351168411,4362890.175504986,488522807804.416,71305086278.73079,111.89478659749047,2362423808.097157,170986540.66010088,0.0,97462328.17625749,1151511703.4027042,14.0,0.07803391080360968,50.854932703300506,80.0,69.9,30.0,36.38390753288792,20.30666666666667,39.166666666666664
2045,A_baseline,util_current_drag,fcap_high,4041447.5404338134,2705854.125,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,331940.54043381335,55796.09075782304,11107667.689244997,3920204.114220799,2.8334411590843445,3784.6232420805018,2309.645594309913,1846687.4374366163,1126979.683610002,143698.08778448633,89887.13670723075,47979.22142161134,0.3083394148151727,62171.38957551179,0.13407726460371944,55.2763509660046,0.0,343866.6389093824,4496076.485559907,569374028950.23,83765290488.21046,116.18073364791832,4245929013.4904084,882765821.4995925,0.0,503176518.25476766,745797513.3241942,14.0,0.4028718816664653,54.41382910749796,80.0,69.9,30.0,36.48488865721822,20.506666666666668,39.166666666666664
2030,A_baseline,util_severe_bottleneck,fcap_none,3691737.3118724874,624427.875,45418.06329493124,28613.379875806688,23606.038397540517,3538.759756140392,-17769.688127512578,47069.009895702,10141141.735230587,3580985.1925163125,2.8319418232792346,2322.788125873184,2053.0062442614885,1029240.2458206568,909698.4042488609,99415.90514853959,90065.90337267073,48061.0436555583,0.27353386807435653,65429.82844153287,0.13324568381757226,60.11517060289043,0.0,313945.32324494066,4104853.5271403682,359299029438.87836,51616206807.88415,103.68455840292718,8458505.498546712,-484201240.56675905,0.0,0.0,159244189.02631763,-1.0,0.0,47.578993797166206,80.0,30.0,0.0,95.28294126625433,19.906666666666666,49.58333333333333
2035,A_baseline,util_severe_bottleneck,fcap_none,3711539.306151031,1318236.625,45418.06329493124,28613.379875806688,28613.379875806688,8148.0,2032.3061510310508,146705.2402809451,10229346.656238323,3600193.1269665,2.8413327550729215,2753.3245447928257,2150.892733824371,1264466.9749964252,987799.5799021726,112461.52577145564,90051.13329300527,48054.39616160466,0.28662285372811963,64240.42048711282,0.13332089647014186,61.757144239379414,0.0,316675.9351583278,4140556.438169795,410014936776.08075,59034612585.441246,104.81305681419138,209606137.3360776,-534674141.87621796,0.0,0.0,366660000.0,-1.0,0.0,47.32662929061891,80.0,30.0,0.0,74.20435274512289,20.10666666666667,49.58333333333333
2040,A_baseline,util_severe_bottleneck,fcap_none,3731222.7732706475,2012045.375,45418.06329493124,28613.379875806688,28613.379875806688,8148.0,21715.773270647507,247772.13965997854,10317867.61580912,3619286.090072528,2.850801887176141,3264.3736627031676,2253.9375787488634,1553961.2931285906,1072956.7495662633,127218.48705345203,90035.98309116448,48047.551169046325,0.30040490497671474,62988.732146178125,0.13339652266451826,66.74849749671505,0.0,319416.33086445037,4176387.2728634565,467867877628.41364,67515519412.71675,105.94804706039739,474601020.6761203,-576248436.201028,0.0,0.0,366660000.0,-1.0,0.0,47.11875781899486,80.0,30.0,0.0,72.49119370107714,20.30666666666667,49.58333333333333
2045,A_baseline,util_severe_bottleneck,fcap_none,3750788.4226895464,2705854.125,45418.06329493124,28613.379875806688,28613.379875806688,8148.0,41281.422689546365,348839.0390390119,10406860.475303087,3638264.7700088597,2.8603911845804846,3871.1627832541935,2362.4581616965525,1910387.938311855,1165854.2483397138,143911.17266355024,90020.42720503741,48040.49722018129,0.3149229438312667,61670.92926467878,0.13347269487614907,71.18175212232785,0.0,322171.33545562613,4212409.119586596,533867332363.5104,77212064707.143,107.09154438387552,829267606.6502297,-593905498.0010712,0.0,0.0,366660000.0,-1.0,0.0,47.030472509994645,80.0,30.0,0.0,72.24027239462976,20.506666666666668,49.58333333333333
2030,A_baseline,util_severe_bottleneck,fcap_partial,3691737.3118724874,624427.875,45418.06329493124,28613.379875806688,23606.038397540517,3538.759756140392,-17769.688127512578,47069.009895702,10141141.735230587,3580985.1925163125,2.8319418232792346,2322.788125873184,2053.0062442614885,1029240.2458206568,909698.4042488609,99415.90514853959,90065.90337267073,48061.0436555583,0.27353386807435653,65429.82844153287,0.13324568381757226,60.11517060289043,0.0,313945.32324494066,4104853.5271403682,359299029438.87836,51616206807.88415,103.68455840292718,8458505.498546712,-484201240.56675905,0.0,0.0,159244189.02631763,-1.0,0.0,47.578993797166206,80.0,49.95,0.0,90.29544126625433,19.906666666666666,49.58333333333333
2035,A_baseline,util_severe_bottleneck,fcap_partial,3711539.306151031,1318236.625,45418.06329493124,28613.379875806688,28613.379875806688,8148.0,2032.3061510310508,146705.2402809451,10229346.656238323,3600193.1269665,2.8413327550729215,2753.3245447928257,2150.892733824371,1264466.9749964252,987799.5799021726,112461.52577145564,90051.13329300527,48054.39616160466,0.28662285372811963,64240.42048711282,0.13332089647014186,61.757144239379414,0.0,316675.9351583278,4140556.438169795,410014936776.08075,59034612585.441246,104.81305681419138,209606137.3360776,-534674141.87621796,0.0,0.0,366660000.0,-1.0,0.0,47.32662929061891,80.0,49.95,0.0,69.21685274512289,20.10666666666667,49.58333333333333
