year,scenario,utility_infrastructure_variant,fiscal_capture_variant,housing_stock,theoretical_housing_capacity,annual_entitlements,annual_permits,annual_completions,annual_occupied_new_units,cumulative_net_new_units,delayed_completed_units_due_to_utilities,population,households,persons_per_household,median_gross_rent_nominal,median_gross_rent_real_2024,median_home_value_nominal,median_home_value_real_2024,median_household_income_nominal,median_household_income_real_2024,per_capita_income_real_2024,rent_to_income_ratio,residual_income_after_rent,poverty_rate,homelessness_pressure_index,estimated_homelessness_cost_avoidance,employer_establishments,employment,annual_payroll,accommodation_food_sales,commercial_vitality_index,gross_new_public_revenue,net_new_public_revenue_after_service_costs,estimated_benefit_cost_avoidance,infrastructure_reinvestment_capacity,infrastructure_funding_gap,years_until_growth_fiscal_dividend_turns_positive,share_of_infrastructure_need_self_funded_by_growth,fiscal_score,fiscal_leakage_score,fiscal_alignment_score,infrastructure_execution_score,infrastructure_stress_score,legal_implementation_risk_score,delivery_risk_score
2036,A_baseline,util_improved,fcap_none,3841441.3412124594,1456998.375,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,131934.34121245937,40535.621490726146,10551132.994622398,3726198.1009760853,2.831608172377767,2820.138634815105,2149.353945524424,1297928.809710776,989209.6699510575,115200.60697686425,89994.53004816003,48028.70147498257,0.28659794470275607,64202.28270186694,0.13359648075419933,46.943512383983986,116910651.31261253,326637.6651742723,4270806.642790509,433343929091.6531,62899122108.48463,108.95054026851342,1345041901.4205,-27995745.335901484,0.0,0.0,1248974031.5789618,-1.0,0.0,49.86002127332049,80.0,30.0,59.16666666666666,38.19502236365233,20.14666666666667,31.875000000000004
2037,A_baseline,util_improved,fcap_none,3865444.991478811,1595760.125,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,155937.99147881102,40535.621490726146,10617164.973429866,3749481.6417344464,2.831635406679454,2913.234038832644,2166.1523140883255,1349373.1121954392,1003334.3186948224,118064.70961295761,89982.40239010206,48023.15682920368,0.288876792335111,63988.57462104215,0.13365325666583722,47.83629102590639,82761868.25908056,328681.85620053473,4297534.560434166,446925769199.98413,64976346011.34514,109.80351014880898,1609432675.466137,16035645.01351744,0.0,0.0,1248974031.5789618,13.0,0.0,50.080178225067584,80.0,30.0,59.16666666666666,37.659203103077175,20.186666666666667,31.875000000000004
2038,A_baseline,util_improved,fcap_none,3889419.837364843,1734521.875,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,179912.83736484312,40535.621490726146,10683151.28754016,3772737.2422438976,2.831671171773993,3009.464590143381,2183.126933499101,1402899.7848440276,1017692.0889264137,120999.80033251728,89970.11362655052,48017.52605810488,0.2911802836076249,63772.590424561306,0.13371006749825742,48.75676233125178,47553840.82961949,330724.6335577558,4324243.994272138,460912983596.93964,67118565587.701515,110.65721604996673,1890591860.7345128,68181591.15460645,0.0,0.0,1248974031.5789618,13.0,0.0,50.340907955773034,80.0,30.0,59.16666666666666,37.34273072810973,20.226666666666667,31.875000000000004
2039,A_baseline,util_improved,fcap_none,3913365.913435812,1873283.625,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,203858.9134358121,40535.621490726146,10749092.27304995,3795964.9360327376,2.8317153751910333,3108.9375148395516,2200.279629170337,1458594.547370091,1032287.0287610039,124007.63624685646,89957.6660701542,48011.81039503776,0.2935086769531479,63554.31052011016,0.13376691242804356,49.6916306211534,11795128.740882425,332766.00765067886,4350935.080347055,475317293564.2271,69327740699.48817,111.51165344005106,2189481816.49028,129641466.36292833,0.0,0.0,1248974031.5789618,13.0,0.0,50.64820733181464,80.0,30.0,59.16666666666666,37.180680539258994,20.26666666666667,31.875000000000004
2040,A_baseline,util_improved,fcap_none,3937283.2542154957,2012045.375,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,227776.25421549566,40535.621490726146,10814988.27000872,3819164.756589031,2.831767928144528,3211.763764053659,2217.612255782588,1516546.705814014,1047123.2657022033,127090.01790937368,89945.06198408423,48006.01104710814,0.2958622350396505,63333.71491469317,0.1338237906586028,50.63065660596281,0.0,334805.98900641705,4377607.956301538,490150752160.24146,71605888826.69484,112.3668179583509,2507115875.8340564,225662522.4313559,0.0,0.0,1248974031.5789618,13.0,0.0,51.128312612156776,80.0,30.0,59.16666666666666,37.131419961850995,20.30666666666667,31.875000000000004
2041,A_baseline,util_improved,fcap_none,3961171.894186244,2150807.125,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,251664.89418624388,40535.621490726146,10880839.622469468,3842336.7373606563,2.831828745427356,3318.0581455586694,2235.126697655903,1576849.3051173987,1062205.0083015154,130248.79038854977,89932.3035832344,48000.129195814974,0.29824122482359083,63110.78321136357,0.13388070141961494,51.565993538664664,0.0,336844.58827602246,4404262.76139872,505425753479.50543,73955086732.64273,113.22270541447824,2844560942.9276166,344853784.8794099,0.0,0.0,1248974031.5789618,13.0,0.0,51.72426892439705,80.0,30.0,59.16666666666666,37.167023371242585,20.346666666666668,31.875000000000004
2042,A_baseline,util_improved,fcap_none,3985031.867789027,2289568.875,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,275524.8677890268,40535.621490726146,10946646.678541053,3865480.911755356,2.831897745310574,3427.9394601086797,2252.8248691343474,1639599.288307906,1077536.547858964,133485.84436741026,89919.39303538164,47994.16599766812,0.30064591760505793,62885.49460576947,0.1339376439665023,52.49163760572862,0.0,338881.816236107,4430899.636543432,521155042168.39716,76377472176.90681,114.07931178753373,3202940220.08837,476244549.3071099,0.0,0.0,1248974031.5789618,13.0,0.0,52.38122274653555,80.0,30.0,59.16666666666666,37.26806036097844,20.386666666666667,31.875000000000004
2043,A_baseline,util_improved,fcap_none,4008863.2094234866,2428330.625,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,299356.2094234866,40535.621490726146,11012409.790442264,3888597.313140782,2.8319748494471,3541.5306426947686,2270.7087149826166,1704897.6625868457,1093122.260165941,136803.11727010523,89906.33246230801,47988.12258478575,0.30307658908470053,62657.82788251661,0.13399461757991987,53.40299499371809,0.0,340917.68379051593,4457518.724304094,537351723204.2416,78875245677.24362,114.9366332253394,3583436071.204233,620708760.1149954,0.0,0.0,1248974031.5789618,13.0,0.0,53.103543800574975,80.0,30.0,59.16666666666666,37.420593922879576,20.42666666666667,31.875000000000004
2044,A_baseline,util_improved,fcap_none,4032665.953447985,2567092.375,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,323158.953447985,40535.621490726146,11078129.314557541,3911685.974844545,2.8320599827796245,3658.958908897337,2288.780210794859,1772849.6726250583,1108966.6072913604,140202.59441627396,89893.12394088598,47982.00006547225,0.3055335194224602,62427.761411347674,0.1340516215652652,54.29655110186483,0.0,342952.2019720534,4484120.1689352635,554029271945.0378,81450672321.92126,115.79466604373675,3987293028.2409573,779172592.1061105,0.0,0.0,1248974031.5789618,13.0,0.0,53.89586296053055,80.0,30.0,59.16666666666666,37.61436746190671,20.46666666666667,31.875000000000004
2045,A_baseline,util_improved,fcap_none,4056440.134179654,2705854.125,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,346933.13417965407,40535.621490726146,11143805.611494446,3934746.9301542644,2.8321530734525653,3780.3559065231516,2307.041363415834,1843564.981386456,1125074.1394122355,143686.31020387853,89879.76950412808,47975.79952477703,0.30801699329812465,62195.273143138074,0.13410865525220655,55.169622460909814,0.0,344985.38194426073,4510704.116400903,571201544457.2909,84106083633.89024,116.65340672594974,4415820947.951514,952617302.1825223,0.0,0.0,1248974031.5789618,13.0,0.0,54.763086510912615,80.0,30.0,59.16666666666666,37.84166536339741,20.506666666666668,31.875000000000004
